STONNINGTON,90,3
BANYULE,86,4
MELBOURNE,77,9
BOROONDARA,65,4
GREATER GEELONG,63,0
MORNINGTON PENINSULA,60,1
CASEY,56,4
BRIMBANK,53,15
MORELAND,52,2
GLEN EIRA,48,5
PORT PHILLIP,47,1
MONASH,45,0
WYNDHAM,41,11
HUME,40,3
DAREBIN,38,3
FRANKSTON,38,2
MOONEE VALLEY,36,0
BAYSIDE,31,0
INTERSTATE,31,2
MANNINGHAM,29,0
YARRA,28,3
KINGSTON,26,1
WHITTLESEA,26,4
NILLUMBIK,25,3
MELTON,24,4
WHITEHORSE,23,1
YARRA RANGES,22,1
HOBSONS BAY,19,4
CARDINIA,16,3
GREATER DANDENONG,15,1
MARIBYRNONG,15,4
KNOX,13,1
MAROONDAH,12,1
MOIRA,11,0
WELLINGTON,11,1
GREATER SHEPPARTON,10,0
SURF COAST,10,0
BALLARAT,9,1
GREATER BENDIGO,9,0
MITCHELL,9,0
MACEDON RANGES,8,1
LATROBE,7,0
OVERSEAS,7,0
MOUNT ALEXANDER,6,0
BAW BAW,5,0
MILDURA,5,0
SOUTH GIPPSLAND,5,0
WARRNAMBOOL,5,0
BASS COAST,4,0
BENALLA,3,0
HORSHAM,3,0
LODDON,3,0
MANSFIELD,3,0
NORTHERN GRAMPIANS,3,0
SWAN HILL,3,0
CAMPASPE,2,0
HEPBURN,2,0
MOORABOOL,2,1
SOUTHERN GRAMPIANS,2,0
STRATHBOGIE,2,0
WANGARATTA,2,0
ARARAT,1,0
CENTRAL GOLDFIELDS,1,0
CORANGAMITE,1,0
EAST GIPPSLAND,1,0
GANNAWARRA,1,0
GLENELG,1,0
GOLDEN PLAINS,1,0
MOYNE,1,0
MURRINDINDI,1,0
WEST WIMMERA,1,0
WODONGA,1,0
YARRIAMBIACK,1,0
